"Repo","Visible","DefaultBranch","Files","SizeMB","BackedUp","Notes"
"CoCivium","True","main","0","0","False","ERROR: The variable '$sha?recursive' cannot be retrieved because it has not been set."
"CoCache","True","main","0","0","False","ERROR: The variable '$sha?recursive' cannot be retrieved because it has not been set."
"CoCivium","True","main","0","0","False","ERROR: The variable '$sha?recursive' cannot be retrieved because it has not been set."
"GIBindex","True","main","0","0","False","ERROR: The variable '$sha?recursive' cannot be retrieved because it has not been set."

