name,path,remote
Civium-Constitution,/c/Users/Chris/Documents/GitHub/Civium-Constitution,https://github.com/rickballard/Cognocarta-Consenti.git
Civium,/c/Users/Chris/Documents/GitHub/Civium,https://github.com/rickballard/Civium.git
CoCache,/c/Users/Chris/Documents/GitHub/CoCache,https://github.com/rickballard/CoCache.git
CoCivium,/c/Users/Chris/Documents/GitHub/CoCivium,https://github.com/rickballard/CoCivium.git
GIBindex,/c/Users/Chris/Documents/GitHub/GIBindex,https://github.com/rickballard/GIBindex.git
